id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,0.0,0.0,0.0,0.844630898,1.50156604,1.689261795,1.970978699,2.346248506,3.941827444
0.csv_Day7_8h00m,2.3464032130000003,4.50469812,6.663345757999999,7.22604832,7.695525955,7.978033923,8.727852608,8.91672413,10.79321756
0.csv_Day7_8h30m,3.941914079,8.728428115,11.44906357,13.79518316,14.82747577,15.67259554,16.33060744,16.61198708,18.67716433
0.csv_Day7_9h00m,6.381866071000001,11.82574224,16.89206101,20.36588465,22.60128770833333,23.3681215,24.40152078,24.849715171000003,27.21468808
0.csv_Day7_9h30m,6.382427139,13.88902794,21.39637546,26.18240681,29.335031667499997,30.40537565,31.440075489999998,32.1933596,33.80203596600002
0.csv_Day7_10h00m,11.82496252,22.054493590000003,26.84049297,31.62673472,35.2720259525,36.12944744,37.54038865,38.75746958,41.10672557
0.csv_Day7_10h30m,13.13870285,25.33892693,31.888666139,35.84988921,39.69459828,41.29215849,42.32632305,44.11189565,45.98343848
0.csv_Day7_11h00m,21.39519969,28.3408131,34.06303564,38.10181953,42.82299419226088,44.67306249,45.89262078,48.14290297,50.11036055
0.csv_Day7_11h30m,17.92415663,26.84049297,36.41217612,40.3505959,45.084265135,46.54445474,47.95679244,48.88819123466667,51.99115275
0.csv_Day7_12h00m,18.30114059,25.80646454,36.59825881,40.35325685,43.45108976,46.91929756,48.513240713,49.26580391,52.45635121
0.csv_Day7_12h30m,17.73724885,23.93331277,34.720280200000005,38.85045935,42.886594665,46.44908353,47.5813968,48.987730651999996,52.09323924900001
0.csv_Day7_13h00m,16.79766238,19.80211977,31.932057211000036,36.5028123,38.94301698,43.07428217,45.13586816,46.736243,49.08513698
0.csv_Day7_13h30m,14.54642101,16.42175415,25.14984913,31.62777744,35.7528977,39.75811679933333,41.2930661,42.79557275,45.70642774
0.csv_Day7_14h00m,12.577274040000002,21.6793362,26.65279721,30.96333285,33.68638998,35.56639112,36.60067223,37.72684676,42.623599484000025
