id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,0.0,0.0,0.0,0.9063374893930436,1.50156604,1.68928036,1.970978699,2.3744148334000013,3.941827444
0.csv_Day7_8h00m,2.533948387,4.598738039600001,6.381795937000001,7.038900225,7.607317470493088,7.9779287226,8.540062997,8.91672413,11.26224036
0.csv_Day7_8h30m,4.316954922,9.291552509,11.54316207,13.51453991,14.45257314,15.57857646,16.313168260749997,16.61198708,18.68630035000001
0.csv_Day7_9h00m,6.475361218,13.51335177,16.89206101,20.268079072904765,21.86631515,23.36735106,24.21168802,24.809029251777783,27.40508604
0.csv_Day7_9h30m,7.076178851100003,17.45628072,21.438225753375004,26.061791356,28.6229735,30.311531899999995,31.440075489999998,32.1933596,34.91256144
0.csv_Day7_10h00m,11.992345969,22.99298267,27.292906867375017,31.249625970000004,34.38483574709811,36.036545538,37.54038865,38.12109014400001,41.10672557
0.csv_Day7_10h30m,14.076500918,26.5566143,32.090794228625,35.493598708,38.3818703065625,41.19740713,42.32632305,43.674975212000014,46.07930785
0.csv_Day7_11h00m,21.48951065,28.3408131,34.06303564,38.09972584,41.291436527857144,44.390405982666664,45.89262078,47.48754789,50.11036055
0.csv_Day7_11h30m,17.92415663,27.87496385,36.22289205,40.0721629,43.45156728,46.45469936,47.95679244,48.89635622,52.476617934000025
0.csv_Day7_12h00m,18.979356701000004,27.40448371,36.59825881,40.44710163,43.44726954,46.424834360999995,48.51988589,49.64607279,52.73729046
0.csv_Day7_12h30m,18.027826086999998,26.08684272,33.97293166,38.85045935,41.85201343,45.32653222,47.5813968,48.98859206,52.00042295200001
0.csv_Day7_13h00m,16.79766238,19.80211977,31.345018843,34.72218824,38.158971481875,42.581156038,44.789235303999995,46.736243,49.08513698
0.csv_Day7_13h30m,14.91902472,17.17302913,25.14984913,30.59440807,34.962905680000006,39.22453276,41.29125088,42.79557275,45.70642774
