id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,0.0,0.0,0.0,0.938571599,1.501632048,1.7831880569999998,2.064653305,2.534059775,3.941827444
0.csv_Day7_8h00m,2.909188285,5.161633263,6.663492213,7.22604832,7.695948819,8.1650165856,8.728044443,9.103744334,11.26224036
0.csv_Day7_8h30m,4.8804328721,9.3852003,11.54316207,13.79518316,14.82747577,15.804607579999999,16.359118862999996,17.098933108000004,18.68659109500001
0.csv_Day7_9h00m,6.344332283100003,13.51335177,16.89206101,20.27025043,22.71043758,23.74273019,24.40152078,25.80816631,27.40508604
0.csv_Day7_9h30m,7.78911702,18.243019942000004,21.39684576,26.18240681,29.65462563,30.59205447,31.440075489999998,32.56521349,34.91256144
0.csv_Day7_10h00m,11.82496252,23.18017099,27.778574866,31.249625970000004,34.533362100000005,36.32152345,37.54038865,38.76258107,41.10672557
0.csv_Day7_10h30m,13.138587335999999,28.62328807,32.56521349,35.7528977,40.35148289,41.75909275,42.60834112,44.11189565,46.07930785
0.csv_Day7_11h00m,23.357453168000003,28.3408131,35.09602031,38.10181953,43.63782427,45.42486864,46.265986670000004,48.14713573,50.20585553000001
0.csv_Day7_11h30m,17.92415663,28.809081970000005,36.31992688,40.91362747,45.60605848,47.186294486,48.075888879999994,50.30080389,53.01938897
0.csv_Day7_12h00m,20.55449214,28.15498208,37.25351281,40.81934023,43.63590591,47.29933026,48.51988589,50.30135671,53.956717768000004
0.csv_Day7_12h30m,19.80255501,28.81193166,36.22368827,39.41610855,41.94907919,46.64085734,47.608554544,49.473665308,52.17769956
0.csv_Day7_13h00m,18.01681224,23.18246374,32.4706519,36.50562073,38.94301698,43.82358723,45.61056971,47.01882007,50.39520252
0.csv_Day7_13h30m,15.4840489,20.36476561,26.27798327,33.278966656,35.47371798,39.97612025,41.76180063,42.813211526,46.2654782
0.csv_Day7_14h00m,15.20452573,21.6793362,26.65279721,30.87493373,33.31563037,35.37520622,36.97403193,38.10223827,42.887066
