id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,0.017253383891577167,0.030097244605412816,0.04175977500573144,0.05270883124504288,0.06306446428426234,0.07304868658294468,0.08344313789336655,0.0929625952908692,0.10616626921677642
0.csv_Day7_8h00m,0.08873071351388953,0.1547841284598126,0.21476219712742534,0.27107101043170057,0.32432796652983303,0.37567483123826023,0.4291314219659129,0.4780880934486496,0.5459919560076013
0.csv_Day7_8h30m,0.22675327752408436,0.39555422296336373,0.5488294882165488,0.6927278912000601,0.8288272063973559,0.9600452413047281,1.0966547271606193,1.221764571043963,1.3952943757984015
0.csv_Day7_9h00m,0.5718050718578607,0.997471407491444,1.3839865442035082,1.7468559922514142,2.0900584348177826,2.4209517242049134,2.765440667117752,3.080930895320706,3.518522023266158
0.csv_Day7_9h30m,0.5791940108229504,1.0103608618039592,1.4018705970161198,1.7694290909222763,2.1170664397628287,2.4522355749575095,2.8011760484681107,3.1207430821332824,3.56398881913204
0.csv_Day7_10h00m,0.2932917322667883,0.5116256070258838,0.7098779478547095,0.8960018810665492,1.0720381631013205,1.2417608025394185,1.418456959650065,1.580279021217735,1.804729391206063
0.csv_Day7_10h30m,0.37709019882762723,0.6578057976186015,0.9127022246108941,1.1520049503951637,1.378337810446552,1.5965531121757008,1.8237343849035734,2.0317917784742248,2.320371459843638
0.csv_Day7_11h00m,0.7024244630858557,1.2253272178474792,1.700135331209259,2.1458962902492855,2.567497642378183,2.973978019303285,3.3971597514595806,3.784718493172493,4.322270061401019
0.csv_Day7_11h30m,0.9341013035431648,1.6294702300514132,2.2608817211541927,2.8536655930009878,3.4143214261834784,3.9548690151475685,4.517626476506846,5.0330116102238245,5.747860888675797
0.csv_Day7_12h00m,1.1411316717957949,1.9906193051085095,2.7619742402746983,3.4861402896403053,4.171057574087747,4.8314099058316815,5.518894614674929,6.148507588156854,7.02179311843898
