id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,0.0,0.0,0.0,0.7507747690000001,1.50156604,1.5954735312,1.970978699,2.346248506,4.045348790800013
0.csv_Day7_8h00m,2.533948387,5.067785385,6.288153303,7.13243869,7.6020957839999985,7.978033923,8.727852608,9.103744334,11.26224036
0.csv_Day7_8h30m,4.880143262,9.291552509,11.07380614,13.60824134,14.54738019,15.76609688,16.33060744,16.79950854,18.77163825
0.csv_Day7_9h00m,7.038358753,13.51335177,16.89206101,20.27025043,22.52225295,23.64966513,24.40152078,25.80771251,27.40508604
0.csv_Day7_9h30m,7.78911702,17.45628072,22.52373813,26.18240681,29.27860705,30.40537565,31.440075489999998,32.56521349,34.91256144
0.csv_Day7_10h00m,13.04428153,23.27273893,28.06020699,31.34312421,34.533362100000005,36.22209583,37.54038865,38.76258107,41.10672557
0.csv_Day7_10h30m,14.332117646,27.77927703,32.56521349,35.7528977,39.367238925,41.29215849,42.60834112,44.11189565,45.98343848
0.csv_Day7_11h00m,23.36683744,28.80876534,34.44292807,38.09972584,41.94815714,44.76297774,46.1741706,48.14713573,50.11036055
0.csv_Day7_11h30m,17.92415663,30.40403899,36.22289205,40.25896961,43.45156728,46.8285469,47.95679244,48.896893559999995,52.92613104
0.csv_Day7_12h00m,20.479363713000005,28.15498208,36.59825881,40.25808469,43.35343095,46.91929756,48.51988588999998,49.64607279,52.75629085700002
0.csv_Day7_12h30m,18.20528771,27.68208131,34.720280200000005,38.76172915,41.85201343,46.2624274,47.5813968,48.98859206,52.17769956
0.csv_Day7_13h00m,18.01681224,23.18246374,32.4706519,36.5028123,38.09972584,43.071725803999996,45.32603406,46.736243,49.08513698
0.csv_Day7_13h30m,15.38936046,17.36185734,27.122036600000005,32.842714136,35.37870568,39.60249858,41.66754175,42.79557275,45.70642774
0.csv_Day7_14h00m,12.95072244,21.6793362,26.65279721,30.87493373,33.12611631,35.37870568,36.97362556,38.00839039,42.800865457000015
