id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,0.0,0.0,0.0,0.938571599,1.50164855,1.8207146249999977,2.064653305,2.7215884480000003,4.223432959
0.csv_Day7_8h00m,3.003198088,5.067785385,6.663638668,7.319893102999998,7.88322171,8.165124261,8.728524033,9.761144627,11.82561228
0.csv_Day7_8h30m,4.411286514,9.291552509,11.54316207,13.79518316,15.20268782,15.95448984,16.51740796,17.26819923,19.14559821
0.csv_Day7_9h00m,6.475361218,13.494553728000001,16.89206101,20.36588465,22.99171924,24.02532067,24.40152078,26.08856306,27.68542812
0.csv_Day7_9h30m,7.78911702,17.08031371,21.39684576,26.27596178,29.65462563,31.288605536,31.62325898,32.94024299,35.3818163
0.csv_Day7_10h00m,12.858572199999998,22.99298267,26.74723297,31.5325403,35.37831685,36.59785657,37.6346532,39.41870762,41.85891332
0.csv_Day7_10h30m,14.07594398,27.554508304000013,31.90792768,35.75486247,40.35148289,41.8538534,42.79604306,44.95165124,46.561637862000026
0.csv_Day7_11h00m,23.18093524,28.3408131,34.06303564,38.09972584,43.63782427,45.60605848,46.549570360000004,48.8008963,50.20585553000001
0.csv_Day7_11h30m,17.92415663,27.8725133,36.22289205,40.22143211,45.60605848,47.2967312,48.33218807,50.68063856,53.02113715
0.csv_Day7_12h00m,19.14728142,28.15498208,36.59825881,40.44710163,43.63590591,47.48546039,48.89528152,51.32914737,54.42638517
0.csv_Day7_12h30m,18.20528771,26.08684272,35.389686521000016,38.85045935,42.78992907,46.64239512,47.95521134,49.92652214,53.39709489
0.csv_Day7_13h00m,16.79766238,20.64381022,32.18734565,36.22329016,38.75640468,44.10413971,45.79474435,47.036347456,50.966093786000016
0.csv_Day7_13h30m,15.38936046,17.17302913,25.81015171,31.90763724600001,36.88059454,40.34837845,41.95046227,43.17002365,48.88775867
0.csv_Day7_14h00m,13.457757168000004,21.6793362,26.93493285,30.96469427,33.96957144,35.884115164,37.25924519,39.22539499,44.48144958
