id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,0.0,0.0,0.0,0.938571599,1.501590793,1.689261795,1.970978699,2.346222722,3.941784126
0.csv_Day7_8h00m,3.003198088,5.161633263,6.663492213,7.22604832,7.6954836685,7.978033923,8.64390126441193,8.956280255183335,10.79321756
0.csv_Day7_8h30m,5.161916891000001,9.291552509,11.54328893,13.79518316,14.64155605,15.695648938561536,16.33204311,16.70584012,18.67716433
0.csv_Day7_9h00m,6.982094581900003,13.51335177,17.454903671399997,20.27025043,22.178852142588234,23.3681215,24.40152078,25.05958631,26.954537398333358
0.csv_Day7_9h30m,7.78911702,17.155241014,22.52373813,26.18240681,28.624037878333333,30.311531899999995,31.440075489999998,32.37716191,34.56634009575001
0.csv_Day7_10h00m,11.82496252,22.99298267,28.71808172,31.439038959999998,34.4410355,36.12944744,37.54038865,38.76258107,41.10672557
0.csv_Day7_10h30m,14.302740176,26.5566143,32.159936355000006,35.62948975324167,39.367238925,41.29215849,42.32632305,44.11189565,45.98343848
0.csv_Day7_11h00m,23.357453168000003,27.77683473,34.44292807,38.37998541,43.119071675,44.76396167,46.1741706,48.14713573,50.11036055
0.csv_Day7_11h30m,17.92415663,27.87496385,36.22289205,40.609855175999996,44.94819304,46.8285469,47.95679244,50.133201788,53.01938897
0.csv_Day7_12h00m,19.14728142,28.15498208,36.59825881,40.615126188000005,43.63590591,47.29933026,48.51988589,50.30135671,53.206658876
0.csv_Day7_12h30m,18.20528771,27.68208131,35.94097197,39.74918422892262,42.57348647625,46.64085734,47.5813968,49.38711963600001,52.18679680000001
0.csv_Day7_13h00m,18.01681224,22.71043758,32.37751774,36.69411683,38.94301698,43.07428217,45.32603406,47.01365288000001,49.4556573
0.csv_Day7_13h30m,15.474580056,20.36476561,27.96390135,34.53412119,37.38698596034483,40.069527941000004,41.76597718,42.88376663,46.18101789800001
