id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,0.0,0.0,0.0,0.5255555404000022,1.501632048,1.689261795,2.064653305,2.62794272,4.223432959
0.csv_Day7_8h00m,2.3464032130000003,5.161746714,6.635147458100003,7.22604832,7.696202537,8.164944802,8.727852608,9.47842729,11.26224036
0.csv_Day7_8h30m,4.316954922,9.290429342000001,11.4514543,13.79518316,14.82747577,15.86133711,16.33204311,17.098933108000004,18.77163825
0.csv_Day7_9h00m,6.475361218,13.51335177,17.054429707000004,20.27025043,22.71043758,23.74273019,24.40152078,25.80816631,27.40508604
0.csv_Day7_9h30m,7.78911702,17.45628072,22.52373813,26.18240681,29.65462563,30.59440807,31.44042101,32.65977921,34.91256144
0.csv_Day7_10h00m,11.82496252,22.99298267,26.84049297,31.249625970000004,34.533362100000005,36.50642314,37.54038865,38.94601312,41.10672557
0.csv_Day7_10h30m,14.076980508,26.5566143,32.56521349,35.905249896,40.4484352,41.75909275,42.63593328099999,44.20137875,46.07657326300001
0.csv_Day7_11h00m,20.55132995,28.3408131,35.28408736,38.37998541,43.44631449,45.42486864,46.45418882999999,48.23674878,50.11036055
0.csv_Day7_11h30m,17.92415663,28.81129839,36.41377682,40.91362747,45.60605848,47.11267001,47.984313435,50.507259942000005,53.01938897
0.csv_Day7_12h00m,19.14728142,27.40448371,37.34858183,41.66479417,44.715808845000005,47.48546039,48.51988589,50.30135671,54.33433808
0.csv_Day7_12h30m,18.20528771,28.755057326000003,36.22368827,40.127113098,43.63446714,46.64239512,47.72767853199999,49.473665308,52.69286275800007
0.csv_Day7_13h00m,16.79766238,19.80211977,32.18734565,36.97525101,38.94301698,44.1051092,45.66582210199999,47.01882007,50.40397673400001
0.csv_Day7_13h30m,14.54642101,16.79840084,25.90030623,33.78300813,36.68685802,40.202839102,41.8538534,42.88753734000001,46.2654782
0.csv_Day7_14h00m,12.659743272,21.6793362,26.83960805,30.87493373,33.31636265,35.94255203,37.25924519,38.10223827,42.887066
