id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,0.0,0.0,0.187701943,1.032349343,1.595378851,1.970978699,2.252324307,3.3785013124,6.475574712
0.csv_Day7_8h00m,2.3464032130000003,4.50469812,6.381774897100001,7.22604832,7.884694513999999,8.540062997,8.728524033,10.13657327,13.429306388000011
0.csv_Day7_8h30m,4.316954922,7.132752227999999,10.51142434,13.60824134,15.10901012,16.33060744,16.61198708,18.261554568000015,22.24170253
0.csv_Day7_9h00m,5.161689988000001,10.51130882,16.14112534,20.27025043,22.992321949999997,24.21408287,24.59138655,26.4653923,29.65495155
0.csv_Day7_9h30m,6.382427139,13.70209128,21.11438008,26.18240681,29.655114505,31.440075489999998,31.859133243499993,33.689536700000005,37.93197768900003
0.csv_Day7_10h00m,11.82496252,17.868555842000003,26.650746839999996,31.5325403,35.37831685,37.35063427,37.6346532,40.44576807,42.69890716
0.csv_Day7_10h30m,12.48217923,23.83736089,30.87425509,35.75486247,40.54139197,42.32632305,43.63830386,45.983438480000004,48.24745847200002
0.csv_Day7_11h00m,21.310812716000004,27.122376741800004,32.912955290000006,38.37998541,44.10704819,45.89262078,47.57930517,49.73773519,52.64865928
0.csv_Day7_11h30m,17.92415663,25.62018899,35.84831326,40.25896961,46.07525661,47.95679244,48.80143262,51.33118083000002,55.18133907
0.csv_Day7_12h00m,18.232561076000003,25.52718375,34.44217104,40.35325685,45.499055675,48.51881945,48.98051638999999,52.27154434,56.49518048
0.csv_Day7_12h30m,17.36052171,23.405679489333334,32.75290925,38.85045935,44.20186452,47.5813968,48.05064134,51.24319364,56.30748885
0.csv_Day7_13h00m,16.5194047,19.80211977,29.85037869500001,34.72218824,38.94301698,44.10413971,46.17234383,49.07974288999999,53.96252956
0.csv_Day7_13h30m,15.38936046,15.95431451,24.02822502,30.31186503,34.90565536,40.63255827,42.41784209,44.19846408000001,50.690215284000026
