id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,0.0,0.0,0.187701943,1.032326653,1.501632048,1.87704006,2.064653305,2.5978051259200017,3.9418274439999994
0.csv_Day7_8h00m,3.003594136,5.255365626,6.663492213,7.22604832,7.789716249,8.165124261,8.728044443,9.478948134,11.26224036
0.csv_Day7_8h30m,5.161916891000001,10.116712082000001,11.890376994275005,13.79563799,14.97747159590909,15.8608142,16.5168634,17.194479046000005,18.95768793
0.csv_Day7_9h00m,7.123453972600001,14.35951426,17.01284597663,20.51940687971429,22.61907841,23.64966513,24.40152078,25.80816631,27.40508604
0.csv_Day7_9h30m,9.479156472,18.29892829,22.52373813,26.84049297,29.65462563,30.59205447,31.44042101,32.65977921,35.19218053
0.csv_Day7_10h00m,13.23138734,23.6301674,29.372771559999997,31.815479378,35.37831685,36.32152345,37.54038865,38.94601312,41.85339341
0.csv_Day7_10h30m,14.360461059999999,28.436094388,32.629650793,35.877509112,40.25852715,41.52655870180952,42.70031499,44.19992141,46.26344433
0.csv_Day7_11h00m,23.18093524,28.3408131,33.12830076,38.37998541,43.19823828,45.0445059,46.1741706,48.14713573,50.20585553
0.csv_Day7_11h30m,17.92415663,28.80908197,36.41377682,40.72997884,45.101390010681826,46.8285469,47.95679244,49.06385930200004,53.01938897
0.csv_Day7_12h00m,20.73992506,27.404483710000004,37.35145525,40.35325685,43.45108976,46.93137254082353,48.51988589,50.30135671,54.33433808
0.csv_Day7_12h30m,18.20528771,27.384691426,35.4744977,39.50995643,42.990269444333336,46.63983215,47.5813968,49.36398357,53.30266532
0.csv_Day7_13h00m,18.01681224,23.18246374,32.32046611300001,36.69411683,40.721176188,43.62233258063636,45.352090299,46.7337776,50.22479022900001
0.csv_Day7_13h30m,15.4840489,17.36319297,26.27798327,33.220667788,35.753094175,39.60249858,41.2930661,42.79557275,45.795499325
