id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,0.0,0.0,0.0,0.938571599,1.501632048,1.7831880569999998,2.064653305,2.534059775,3.941827444
0.csv_Day7_8h00m,3.003594136,5.255365626,6.663492213,7.22604832,7.7894594365,8.165124261,8.728044443,9.38478775,11.2621166
0.csv_Day7_8h30m,5.161916891000001,9.478531459,11.54328893,13.79533477,15.20268782,15.95448984,16.51722644,17.176049,18.77163825
0.csv_Day7_9h00m,7.038358753,13.79563799,17.54916736,20.45906213,22.71043758,23.74273019,24.40152078,25.80816631,27.40508604
0.csv_Day7_9h30m,8.352644682000001,18.243019942000004,22.7096888,26.84049297,29.65592929,30.59440807,31.53323338,32.65977921,34.91256144
0.csv_Day7_10h00m,12.858572199999998,23.556335,29.09284203,31.62673472,35.38259396,36.50642314,37.634074188,38.94601312,41.10672557
0.csv_Day7_10h30m,14.360461059999999,28.585874334000003,32.56521349,35.905249896,40.399959045,41.75909275,42.79604306,44.20137875,46.07930785
0.csv_Day7_11h00m,21.310812716000004,28.3408131,34.06303564,38.37998541,43.72926595,45.173798414,46.266596831,48.14713573,50.20585553000001
0.csv_Day7_11h30m,17.92415663,28.81129839,36.597776124999996,40.72997884,45.60605848,46.92136031,47.95679244,50.11476659,53.01938897
0.csv_Day7_12h00m,20.55449214,28.15498208,37.35145525,40.783416626000005,43.633507965,47.29933026,48.51988589,50.30135671,54.33433808
0.csv_Day7_12h30m,18.20528771,28.509416872000003,36.22368827,39.50995643,43.16717706,46.64085734,47.58244261,49.92158392,53.30266532
0.csv_Day7_13h00m,16.79766238,23.18246374,32.4706519,36.69411683,39.88534794,43.82358723,45.61056971,46.736243,50.413638136000024
0.csv_Day7_13h30m,15.38936046,17.36319297,26.27798327,33.78300813,35.52083633,39.60249858,41.385276567,42.79557275,46.2654782
0.csv_Day7_14h00m,13.683156066000002,21.6793362,26.4653923,30.96469427,33.40800854,35.84673732,36.97931463,38.10223827,42.887066
