id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,0.0,0.0,0.0,0.938571599,1.5016237970000001,1.689261795,1.970978699,2.346222722,3.941827444
0.csv_Day7_8h00m,3.003594136,5.255365626,6.663638668,7.22604832,7.69582196,8.015293777799998,8.727852608,9.103044031,11.2621166
0.csv_Day7_8h30m,5.161916891000001,10.22930623,11.918418470000002,13.79518316,15.01599044,15.766443419999998,16.33204311,16.79950854,18.77143198
0.csv_Day7_9h00m,8.634858709,14.8269869,17.55013169,20.45906213,22.71043758,23.64966513,24.40152078,25.80816631,27.40508604
0.csv_Day7_9h30m,8.521152226500002,19.05195661,23.479190651000025,26.84049297,29.655114505,30.481247693999997,31.440075489999998,32.56521349,34.91256144
0.csv_Day7_10h00m,13.992045254000004,23.6486255,29.372997534,32.393289722000006,35.56600023,36.50642314,37.54038865,38.94601312,41.10672557
0.csv_Day7_10h30m,16.637759279000004,28.62360264,33.22068821,35.84988921,40.5391642,41.47985012,42.729690395999995,44.19992141,45.98343848
0.csv_Day7_11h00m,23.46428997,28.90546393,36.87897321,38.437809636,43.91694520000001,45.42486864,46.54598942999999,48.14713573,50.11036055
0.csv_Day7_11h30m,19.98959791,32.56199251,36.97606374,41.10311163,46.07525661,47.053879789999996,47.95679244,50.30080389,53.01938897
0.csv_Day7_12h00m,23.55452288,29.93549887,38.85174032,42.22736781,45.46479934,47.48546039,48.51988589,50.338229180000006,53.20648344
0.csv_Day7_12h30m,20.64517164,30.028020399999996,37.06746725,40.164243,44.20186452,46.64239512,47.66948239,49.92158392,52.268671960000006
0.csv_Day7_13h00m,19.679811733000005,29.933853830000004,33.59790938,37.25433172,41.572096785,44.10413971,45.61056971,47.01365288000001,49.4556573
0.csv_Day7_13h30m,15.822353311000002,20.459152067999998,29.37148027,34.53412119,38.28951322,40.25808469,41.66754175,42.79557275,45.79776422
