id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h30m,0.0,0.0,0.0,0.8446216150000001,1.50156604,1.689261795,2.064621539,2.534031928,3.941827444
0.csv_Day7_8h00m,2.9091882850000004,5.161633263000001,6.663345757999999,7.22604832,7.695610528,8.108580381199987,8.727852608,9.103744334,11.2621166
0.csv_Day7_8h30m,5.161916891000001,9.478531459,11.797067129000013,13.79518316,15.01599044,15.8608142,16.33204311,17.08012599,18.77163825
0.csv_Day7_9h00m,7.123453972600003,13.79563799,17.55013169,20.27025043,22.71043758,23.64966513,24.40152078,25.544101180000027,27.40508604
0.csv_Day7_9h30m,7.78911702,18.29892829,22.7096888,26.18240681,29.60835352,30.59205447,31.440075489999998,32.56521349,34.91256144
0.csv_Day7_10h00m,13.23138734,23.27504096,28.71808172,31.34312421,35.18985994,36.31753202,37.54038865,38.76258107,41.10672557
0.csv_Day7_10h30m,14.0765628,28.43559438,32.65726678,35.7528977,39.88140293,41.29215849,42.60834112,44.11189565,45.98343847999999
0.csv_Day7_11h00m,23.27299472,28.340813100000002,34.44292807,38.09972584,43.07191516,44.76396167,46.1741706,48.14713573,50.11036055
0.csv_Day7_11h30m,17.92415663,28.81129839,36.35539089900003,40.25896961,44.94819304,46.8285469,47.95679244,48.89689356,52.92613104
0.csv_Day7_12h00m,20.55449214,28.15498208,37.25351281,40.44710163,43.54541516,47.20288847,48.51988589,49.64607278999999,52.92729443
0.csv_Day7_12h30m,19.05049103,28.81193166,35.94097197,39.04028799,42.085670844999996,46.63983215,47.5813968,48.98859206,52.17769956
0.csv_Day7_13h00m,18.01681224,23.18246374,32.4706519,36.59906328,38.7561917,43.674207457999984,45.32553591,46.736243,49.08513698
0.csv_Day7_13h30m,15.38936046,17.437970106000005,27.122036600000005,33.31599651,35.47371798,39.97612025,41.38418496,42.79557275,45.70642774
0.csv_Day7_14h00m,13.457757168000018,21.6793362,26.65279721,30.87493373,33.31563037,35.37870568,36.6921005,38.00839039,42.04292501
